obj_id,object_name,source,label,label_source,period,duration,depth,stellar_radius,stellar_mass,stellar_mag
10000162,K04902.01,KOI,1.0,CANDIDATE,409.38645,13.78,532.0,0.799,0.766,15.149
10000490,K07269.01,KOI,0.0,FALSE POSITIVE,1.400991827,4.8798,64100.0,1.924,1.436,11.244
10000941,K04146.02,KOI,1.0,CANDIDATE,2.5738437,1.92,46.6,0.854,0.798,13.632
10001368,K02785.01,KOI,1.0,CONFIRMED,4.76831033,3.2363,252.0,1.116,1.069,14.083
100014359,100014359,TOI,1.0,PC,0.5045539,1.0056629,18806.22992,1.0,0.974,13.5029
10002049,K07270.01,KOI,1.0,CANDIDATE,19.2532128,1.674,219.0,0.953,1.036,15.362
10002261,K00959.01,KOI,0.0,FALSE POSITIVE,12.71379418,2.44093,36700.0,0.116,0.094,13.102
10002266,K05750.01,KOI,0.0,FALSE POSITIVE,12.71368909,1.875,192.0,0.782,0.872,15.127
10002866,K00723.01,KOI,1.0,CONFIRMED,3.936993144,1.887,1270.0,0.843,0.945,15.063
10003058,K04519.01,KOI,1.0,CANDIDATE,148.568877,4.399,404.0,2.985,1.556,14.744
10004515,K05751.01,KOI,0.0,FALSE POSITIVE,25.26363805,2.72,1490.0,1.077,0.974,12.231
10004519,K01572.01,KOI,1.0,CONFIRMED,9.80321143,4.4617,813.0,0.992,1.063,15.439
10004738,K01598.01,KOI,1.0,CONFIRMED,56.4758069,5.961,1090.0,0.839,0.952,14.279
10004772,K05752.01,KOI,0.0,FALSE POSITIVE,1.391716834,1.421,41.0,59.684,0.885,13.71
10005020,K00724.01,KOI,0.0,FALSE POSITIVE,6.97106919,3.9125,453.0,0.983,1.097,15.04
10005758,K01783.01,KOI,1.0,CONFIRMED,134.4785189,5.9288,4030.0,1.336,0.996,13.929
10005788,K01940.01,KOI,1.0,CONFIRMED,10.99470891,1.5929,885.0,0.586,0.573,15.389
10006096,K05753.01,KOI,0.0,FALSE POSITIVE,70.51623381,4.09296,330000.0,0.789,0.773,15.284
10006581,K01595.01,KOI,1.0,CONFIRMED,40.1097817,5.2096,732.0,1.169,0.918,14.904
10006641,K04469.01,KOI,0.0,FALSE POSITIVE,0.894172544,0.8302,86.2,0.736,0.771,14.251
10007492,K05754.01,KOI,0.0,FALSE POSITIVE,2.645596805,2.9095,1270.0,5.443,1.589,12.375
10007916,K05755.01,KOI,1.0,CANDIDATE,388.67155,11.701,371.0,0.788,0.884,14.829
100097716,100097716,TOI,1.0,APC,3.0002084,1.7,8545.0,1.41,0.974,11.3534
100099031,100099031,TOI,1.0,PC,1.2979921,2.5298876,10855.65582,2.63993,0.974,13.4735
100100827,100100827,TOI,1.0,KP,0.9414525,2.05,11445.0,1.35,0.974,8.8287
10010440,K02309.01,KOI,1.0,CONFIRMED,53.5991459,6.811,523.0,1.032,1.084,14.953
10010452,K08287.01,KOI,0.0,FALSE POSITIVE,358.74318,19.76,761.0,0.826,0.918,14.806
10011213,K07982.01,KOI,1.0,CANDIDATE,376.37989,13.99,1140.0,0.955,1.025,15.632
10014702,K07271.01,KOI,0.0,FALSE POSITIVE,1.34062901,3.076,69.5,0.955,1.038,15.13
1001477809,1001477809,TOI,0.0,FP,7.6605425,4.425,5210.0,1.077,0.974,13.0949
10014875,K07983.01,KOI,0.0,FALSE POSITIVE,453.64875,18.34,523.0,0.925,1.008,15.677
10015516,K00990.01,KOI,0.0,FALSE POSITIVE,67.69213907,51.349,25500.0,10.703,2.372,10.7
10015937,K01720.01,KOI,1.0,CONFIRMED,59.6585348,5.514,1040.0,0.831,0.887,15.742
10016874,K00426.01,KOI,1.0,CANDIDATE,16.30141333,3.5764,942.0,1.138,1.004,14.733
10018233,K02655.01,KOI,1.0,CONFIRMED,16.2959916,2.116,370.0,0.961,0.932,15.243
10018364,K05756.01,KOI,0.0,FALSE POSITIVE,105.6327297,2.73,1490.0,1.077,0.974,13.568
10019065,K01721.01,KOI,1.0,CONFIRMED,52.6298542,6.118,676.0,1.433,0.933,15.004
10019399,K01796.01,KOI,0.0,FALSE POSITIVE,11.80570754,2.0494,2050.0,1.891,1.006,12.829
10019643,K00471.01,KOI,1.0,CONFIRMED,21.34736612,4.184,631.0,1.071,0.882,14.415
10019708,K00199.01,KOI,1.0,CONFIRMED,3.268695042,3.45188,10100.0,1.691,1.161,14.879
10019763,K01558.01,KOI,0.0,FALSE POSITIVE,32.50456309,2.4657,7590.0,0.947,0.98,15.134
10019854,K07272.01,KOI,1.0,CANDIDATE,14.1011023,4.513,108.0,1.199,1.219,15.105
10020423,K07273.01,KOI,0.0,FALSE POSITIVE,7.448375935,4.23892,153000.0,0.867,0.846,15.178
10022908,K01586.01,KOI,1.0,CONFIRMED,6.99130452,2.1568,555.0,0.761,0.86,14.94
10023069,K08192.01,KOI,0.0,FALSE POSITIVE,266.977677,8.59,390.0,3.41,1.67,13.357
10023469,K05757.01,KOI,0.0,FALSE POSITIVE,44.637111,5.868,283.0,0.78,0.73,15.292
10024051,K02409.01,KOI,1.0,CONFIRMED,0.577369336,1.0852,400.0,0.716,0.776,14.859
10024701,K02002.01,KOI,1.0,CONFIRMED,14.37504582,3.208,251.0,1.053,1.023,13.286
10026136,K07274.01,KOI,0.0,FALSE POSITIVE,9.080194398,8.18777,325000.0,1.131,1.162,15.163
100263315,100263315,TOI,1.0,APC,0.5940157,1.035,4094.0,1.17,0.974,13.4902
100264497,100264497,TOI,1.0,PC,3.7724643,2.099,8796.0,1.38,0.974,12.0533
10026457,K07275.01,KOI,0.0,FALSE POSITIVE,9.93442075,7.8219,56000.0,0.669,0.749,15.39
10026458,K06076.01,KOI,0.0,FALSE POSITIVE,9.93443795,8.098,2750.0,0.998,1.107,15.777
10026502,K04706.01,KOI,1.0,CONFIRMED,101.952048,5.991,153.0,1.054,1.028,13.658
10026544,K02312.01,KOI,1.0,CANDIDATE,176.331289,13.89,110.0,2.251,1.166,12.982
100267480,100267480,TOI,0.0,FP,0.87741,0.472,12050.0,0.62,0.974,12.722
10027247,K02418.01,KOI,1.0,CONFIRMED,86.829519,7.464,751.0,0.463,0.482,15.474
10027323,K01596.01,KOI,1.0,CONFIRMED,5.92365747,2.6302,407.0,0.496,0.518,15.157
10027861,K05758.01,KOI,1.0,CANDIDATE,102.493119,2.814,636.0,0.791,0.871,15.142
10028127,K08193.01,KOI,1.0,CANDIDATE,367.947848,4.249,1300.0,0.855,0.971,15.719
10028140,K01591.01,KOI,1.0,CONFIRMED,19.65639342,3.226,843.0,0.74,0.828,15.372
10028352,K01957.01,KOI,1.0,CANDIDATE,1.38680229,1.7065,242.0,2.037,1.66,12.655
10028535,K02493.01,KOI,1.0,CONFIRMED,0.663085361,1.1522,323.0,0.767,0.878,15.304
10028792,K01574.01,KOI,1.0,CONFIRMED,114.73658,12.0355,4850.0,1.699,0.969,14.6
10030778,K03265.01,KOI,0.0,FALSE POSITIVE,29.47316279,6.4327,12600.0,0.897,0.992,15.957
10031409,K07276.01,KOI,0.0,FALSE POSITIVE,2.071939672,4.45367,199000.0,1.254,1.014,13.553
10031500,K03107.01,KOI,0.0,FALSE POSITIVE,8.589562,9.885,245.0,0.945,0.827,15.214
10031526,K07277.01,KOI,0.0,FALSE POSITIVE,8.5893644,6.975,179.0,0.817,0.913,15.687
10031643,K07984.01,KOI,0.0,FALSE POSITIVE,8.5898708,4.806,87.7,1.088,0.856,14.478
10031656,K02629.01,KOI,0.0,FALSE POSITIVE,8.59000355,6.68,298.0,0.876,0.965,15.408
10031707,K01827.01,KOI,0.0,FALSE POSITIVE,8.58966893,6.962,430.0,80.307,1.585,13.866
10031808,K07278.01,KOI,0.0,FALSE POSITIVE,8.589644815,9.49469,270000.0,2.194,1.142,9.557
10031885,K00329.01,KOI,0.0,FALSE POSITIVE,8.58969597,8.471,245.0,0.9,0.985,13.478
10031907,K03828.01,KOI,0.0,FALSE POSITIVE,8.58965725,8.9793,1160.0,0.892,1.004,14.649
10031918,K04894.01,KOI,0.0,FALSE POSITIVE,8.5900471,3.463,137.0,0.707,0.684,14.832
10033279,K01604.01,KOI,0.0,FALSE POSITIVE,72.4914068,3.612,1060.0,2.758,1.209,13.05
10034146,K04835.01,KOI,0.0,FALSE POSITIVE,0.93198504,2.0472,327.0,0.777,0.71,14.477
10053138,K07279.01,KOI,1.0,CANDIDATE,11.7728146,4.132,77.1,1.056,0.875,13.717
10055126,K01608.01,KOI,1.0,CONFIRMED,9.17617167,4.2642,207.0,1.156,0.974,13.797
100566492,100566492,TOI,1.0,KP,4.9549631,5.9565174,8236.25668,1.99207,0.974,11.117
10057494,K03234.01,KOI,1.0,CONFIRMED,2.41810158,2.144,46.8,1.239,1.135,12.278
100589632,100589632,TOI,0.0,FP,3.9471567,1.699,1880.0,0.84,0.974,11.1581
100589633,100589633,TOI,1.0,PC,3.9471513,1.993,16080.0,1.37,0.974,13.4034
10059645,K02520.01,KOI,1.0,CONFIRMED,6.49441464,2.344,357.0,0.742,0.724,15.602
100608026,100608026,TOI,1.0,PC,8.2617663,2.5663307,1418.330899,0.6194,0.974,10.8835
10063044,K07280.01,KOI,0.0,FALSE POSITIVE,1.009671584,4.37759,155000.0,2.242,1.723,13.918
10063208,K04292.01,KOI,1.0,CONFIRMED,9.3281912,3.991,45.2,0.888,0.939,12.897
10063802,K01888.01,KOI,1.0,CONFIRMED,120.0183551,11.637,886.0,1.467,1.406,13.256
10064256,K02849.01,KOI,1.0,CONFIRMED,5.95958637,2.899,133.0,0.9,1.012,14.52
10064591,K05759.01,KOI,1.0,CANDIDATE,284.9421278,3.2,1490.0,1.077,0.974,13.248
10065053,K04898.01,KOI,1.0,CANDIDATE,409.87844,10.58,647.0,1.064,1.149,15.731
10066755,K07281.01,KOI,1.0,CANDIDATE,2.46506501,6.218,39.8,1.714,1.356,12.446
10068024,K02891.01,KOI,0.0,FALSE POSITIVE,2.023126394,1.2771,72.2,1.059,1.077,13.126
10068030,K00529.01,KOI,0.0,FALSE POSITIVE,2.023123903,1.1829,1290.0,0.803,0.899,14.977
100683605,100683605,TOI,1.0,PC,3.270563,1.682,9670.0,1.077,0.974,13.3713
10068383,K00725.01,KOI,0.0,FALSE POSITIVE,7.30497811,4.5414,10900.0,0.744,0.833,15.765
10068659,K02602.01,KOI,1.0,CONFIRMED,11.47685263,2.756,241.0,1.032,0.941,15.051
10068919,K03573.01,KOI,0.0,FALSE POSITIVE,43.56225858,3.6873,51300.0,1.216,1.091,13.676
10070468,K02628.01,KOI,1.0,CONFIRMED,1.68189051,2.992,83.2,1.374,1.068,14.812
10070479,K07282.01,KOI,1.0,CANDIDATE,1.758599866,0.2729,238.0,0.725,0.772,15.59
10073672,K02764.01,KOI,1.0,CANDIDATE,2.252976718,1.7131,468.0,0.559,0.583,15.794
10074466,K01917.01,KOI,1.0,CONFIRMED,35.01190875,2.868,437.0,1.153,1.041,13.624
10074700,K05760.01,KOI,0.0,FALSE POSITIVE,365.620697,32.263,27200.0,0.768,0.73,14.622
10075409,K04019.01,KOI,0.0,FALSE POSITIVE,360.33012,15.16,1020.0,0.74,0.81,15.892
100757807,100757807,TOI,1.0,PC,25.1760133,4.418,12570.0,1.24,0.974,10.9339
100769500,100769500,TOI,1.0,PC,4.5016419,1.897,2992.0,1.89,0.974,12.2652
100780304,100780304,TOI,1.0,APC,0.1846924,0.386,1390.0,0.9,0.974,12.058
10079317,K08194.01,KOI,0.0,FALSE POSITIVE,236.2577689,3.3549,168.0,2.054,1.382,12.885
10079420,K07607.01,KOI,1.0,CANDIDATE,54.54312996,7.03,1490.0,1.077,0.974,11.642
10079481,K08195.01,KOI,0.0,FALSE POSITIVE,330.80879,21.669,275.0,1.066,0.998,11.976
10080248,K01722.01,KOI,1.0,CONFIRMED,14.8783945,7.491,323.0,0.837,0.92,15.534
10081899,K08196.01,KOI,0.0,FALSE POSITIVE,522.64613,17.77,648.0,0.318,0.32,15.279
10083325,K05761.01,KOI,1.0,CANDIDATE,6.13292733,1.561,58.7,2.034,1.316,13.421
10083623,K03921.01,KOI,0.0,FALSE POSITIVE,1.278555003,1.4247,1480.0,0.827,0.899,15.643
10089123,K07283.01,KOI,1.0,CANDIDATE,134.413808,13.907,206.0,1.187,1.206,14.262
10089911,K04034.01,KOI,1.0,CONFIRMED,6.96704926,3.73,214.0,3.53,1.786,13.487
10090151,K07985.01,KOI,0.0,FALSE POSITIVE,0.527698548,3.2221,1580.0,0.903,1.005,14.082
10090219,K03978.01,KOI,0.0,FALSE POSITIVE,2.28612573,12.408,302.0,1.012,1.117,15.116
10090257,K02476.01,KOI,0.0,FALSE POSITIVE,2.28607282,7.82,262.0,0.654,0.724,15.546
10090854,K05762.01,KOI,1.0,CANDIDATE,12.63063129,2.212,301.0,0.798,0.892,15.633
100909102,100909102,TOI,1.0,PC,3.1106751,3.129,10899.0,1.22,0.974,12.0052
10091110,K03627.01,KOI,0.0,FALSE POSITIVE,4.218512654,3.62939,23400.0,0.991,1.06,15.232
10091257,K07284.01,KOI,0.0,FALSE POSITIVE,1.70192371,3.0271,49800.0,1.262,1.091,12.533
100921768,100921768,TOI,1.0,PC,4.90038,3.506,240.0,4.18,0.974,8.1605
10092312,K01823.02,KOI,0.0,FALSE POSITIVE,1.096587245,3.0287,541.0,0.942,1.054,13.954
